quarter_Quarter2,quarter_Quarter3,quarter_Quarter4,quarter_Quarter5,department_sweing,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,team,targeted_productivity,smv,wip,over_time,incentive,no_of_workers,actual_productivity
0,0,0,0,1,0,0,1,0,0,0.6363636363636364,0.8,0.4502516453735965,0.04763140817650876,0.27314814814814814,0.02722222222222222,0.6551724137931034,0.940725424
0,0,0,0,0,0,0,1,0,0,0.0,0.75,0.020131629887727445,0.036945706251351934,0.037037037037037035,0.0,0.06896551724137931,0.8865
0,0,0,0,1,0,0,1,0,0,0.9090909090909091,0.8,0.16473093302361594,0.041574735020549425,0.1412037037037037,0.013888888888888888,0.3275862068965517,0.8005704920000001
0,0,0,0,1,0,0,1,0,0,0.9999999999999999,0.8,0.16473093302361594,0.041574735020549425,0.1412037037037037,0.013888888888888888,0.3275862068965517,0.8005704920000001
0,0,0,0,1,0,0,1,0,0,0.4545454545454545,0.8,0.44521873790166466,0.05031364914557646,0.07407407407407407,0.013888888888888888,0.6206896551724138,0.8003819440000001
0,0,0,0,1,0,0,1,0,0,0.5454545454545454,0.8,0.44521873790166466,0.04226692623837335,0.25925925925925924,0.010555555555555556,0.6206896551724138,0.800125
0,0,0,0,0,0,0,1,0,0,0.09090909090909091,0.75,0.020131629887727445,0.036945706251351934,0.037037037037037035,0.0,0.06896551724137931,0.755166667
0,0,0,0,1,0,0,1,0,0,0.1818181818181818,0.75,0.4874177313201702,0.03409041747782825,0.2662037037037037,0.0125,0.6379310344827587,0.753683478
0,0,0,0,1,0,0,1,0,0,0.09090909090909091,0.75,0.32849399922570655,0.031408176508760544,0.23148148148148148,0.009444444444444445,0.6091954022988506,0.753097531
0,0,0,0,1,0,0,1,0,0,0.0,0.75,0.4874177313201702,0.02915855505083279,0.2662037037037037,0.0125,0.6379310344827587,0.7504278259999999
0,0,0,0,1,0,0,1,0,0,0.7272727272727273,0.7,0.4874177313201702,0.03742158771360588,0.2662037037037037,0.012222222222222223,0.6379310344827587,0.7211269570000001
0,0,0,0,1,0,0,1,0,0,0.8181818181818182,0.75,0.3176538908246225,0.02470257408609128,0.25,0.0125,0.5977011494252874,0.712205247
0,0,0,0,1,0,0,1,0,0,0.36363636363636365,0.8,0.16473093302361594,0.028596149686350852,0.1412037037037037,0.013888888888888888,0.3275862068965517,0.7070459020000001
0,0,0,0,0,0,0,1,0,0,0.8181818181818182,0.65,0.020131629887727445,0.036945706251351934,0.037037037037037035,0.0,0.06896551724137931,0.705916667
0,0,0,0,0,0,0,1,0,0,0.6363636363636364,0.75,0.0,0.036945706251351934,0.037037037037037035,0.0,0.06896551724137931,0.676666667
0,0,0,0,0,0,0,1,0,0,0.2727272727272727,0.75,0.020131629887727445,0.036945706251351934,0.08333333333333333,0.0,0.1839080459770115,0.593055556
0,0,0,0,0,0,0,1,0,0,0.5454545454545454,0.8,0.0,0.036945706251351934,0.037037037037037035,0.0,0.06896551724137931,0.5407291670000001
0,0,0,0,1,0,0,1,0,0,0.2727272727272727,0.65,0.4024390243902439,0.036945706251351934,0.2777777777777778,0.0,0.6666666666666667,0.52118
0,0,0,0,0,0,0,1,0,0,0.9090909090909091,0.7,0.024196670538133958,0.036945706251351934,0.05555555555555555,0.0,0.11494252873563218,0.436326389
0,0,0,0,0,1,0,0,0,0,0.2727272727272727,0.8,0.024196670538133958,0.046073977936404935,0.25462962962962965,0.0,0.20689655172413793,0.9880246909999999
0,0,0,0,0,1,0,0,0,0,0.9090909090909091,0.75,0.0,0.046073977936404935,0.2175925925925926,0.0,0.17241379310344826,0.987880435
0,0,0,0,0,1,0,0,0,0,0.7272727272727273,0.8,0.024196670538133958,0.046073977936404935,0.037037037037037035,0.0,0.06896551724137931,0.9562708329999999
0,0,0,0,0,1,0,0,0,0,0.1818181818181818,0.75,0.020131629887727445,0.046073977936404935,0.06018518518518518,0.0,0.06896551724137931,0.945277778
0,0,0,0,0,1,0,0,0,0,0.0,0.8,0.020131629887727445,0.046073977936404935,0.037037037037037035,0.0,0.06896551724137931,0.9029166670000001
0,0,0,0,1,1,0,0,0,0,0.0,0.8,0.4874177313201702,0.03309539260220636,0.24305555555555555,0.013888888888888888,0.6264367816091955,0.800725314
0,0,0,0,1,1,0,0,0,0,0.1818181818181818,0.8,0.4874177313201702,0.039195327709279686,0.2523148148148148,0.013888888888888888,0.603448275862069,0.8003229359999999
0,0,0,0,1,1,0,0,0,0,0.6363636363636364,0.8,0.4502516453735965,0.05425048669695003,0.27314814814814814,0.013888888888888888,0.6551724137931034,0.8003186440000001
0,0,0,0,1,1,0,0,0,0,0.9999999999999999,0.8,0.4502516453735965,0.03621025308241402,0.27314814814814814,0.0175,0.6551724137931034,0.8003186440000001
0,0,0,0,1,1,0,0,0,0,0.9090909090909091,0.8,0.16860240030971735,0.04317542721176725,0.27314814814814814,0.013888888888888888,0.3160919540229885,0.8002372879999999
0,0,0,0,1,1,0,0,0,0,0.36363636363636365,0.8,0.16860240030971735,0.028206792126324893,0.27314814814814814,0.013888888888888888,0.3390804597701149,0.800148649
